name,spellLevel,shortDescription,"Cleric, Druid, Wizard Scroll Cost",Sorcerer Scroll Cost,Bard Scroll Cost,"Paladin, Ranger Scroll Cost",Lowest Scroll Cost
Scroll of Wrathful Weapon,cleric/oracle 4,,700.0,0.0,0.0,0.0,700.0
Scroll of Gift Of The Deep,"cleric/oracle 4, sorcerer/wizard 5",,700.0,1250.0,0.0,0.0,700.0
Scroll of Curse Of Unexpected Death,"cleric/oracle 4, shaman 5, witch 5",,700.0,0.0,0.0,0.0,700.0
Scroll of Mark Of The Reptile God,"antipaladin 4, cleric/oracle 4, inquisitor 4",,700.0,0.0,0.0,0.0,700.0
Scroll of Flaming Aura,"bloodrager 4, cleric/oracle 4, magus 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Frosty Aura,"bloodrager 4, cleric/oracle 4, magus 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Globe Of Tranquil Water,"cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 5, witch 4",,700.0,1250.0,0.0,0.0,700.0
Scroll of Sword To Snake,"cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Thaumaturgic Circle,"cleric/oracle 4, inquisitor 4, medium 3, occultist 3, sorcerer/wizard 4, summoner/unchained summoner 4","As magic circle, but affecting a non-alignment subtype or outsider race.",700.0,800.0,0.0,0.0,700.0
Scroll of Telepathic Bond,"sorcerer/wizard 5, witch 5, inquisitor 5, psychic 4, mesmerist 4, spiritualist 5, medium 4", Link lets allies communicate.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Devil Snare,"cleric/oracle 4, sorcerer/wizard 5",,700.0,1250.0,0.0,0.0,700.0
Scroll of Unholy Ward,"antipaladin 3, cleric/oracle 4, inquisitor 3, sorcerer/wizard 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Rags To Riches,"alchemist 3, bard 3, cleric/oracle 4, medium 3, occultist 3, sorcerer/wizard 4, witch 4",,700.0,800.0,525.0,0.0,525.0
Scroll of Absolution,"cleric/oracle 4, paladin 4",Removes enchantments and forgives actions taken under their effects.,700.0,0.0,0.0,1000.0,700.0
Scroll of Majestic Image,"bard 4, cleric/oracle 4, medium 4, mesmerist 4, occultist 4, sorcerer/wizard 4, spiritualist 4","As enter image, but also gain bonuses on social skills while in the image.",700.0,800.0,1000.0,0.0,700.0
Scroll of Revenant Armor,"antipaladin 3, cleric/oracle 4, magus 4, medium 4, occultist 4, paladin 3, shaman 3, sorcerer/wizard 4, spiritualist 3, witch 3",,700.0,800.0,0.0,525.0,525.0
Scroll of Curse Terrain,"cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 4, witch 4"," Curse an area with four hazards.",700.0,800.0,0.0,0.0,700.0
Scroll of Flesh Puppet Horde,"antipaladin 3, cleric/oracle 4, occultist 4, shaman 4, sorcerer/wizard 5, spiritualist 4, witch 5"," Control multiple zombies in human guise.",700.0,1250.0,0.0,0.0,700.0
Scroll of Torpid Reanimation,"antipaladin 4, cleric/oracle 4, occultist 4, shaman 4, sorcerer/wizard 5, spiritualist 4"," Animate dead when a specific trigger condition occurs.",700.0,1250.0,0.0,0.0,700.0
Scroll of Frigid Souls,"cleric/oracle 4, druid 4, ranger 3, shaman 4, sorcerer/wizard 4, witch 4",,700.0,800.0,0.0,525.0,525.0
Scroll of Firewalker's Meditation,"cleric/oracle 4, druid 4, paladin 3, shaman 4, wizard 4",,700.0,0.0,0.0,525.0,525.0
Scroll of Concealed Breath,"alchemist 4, cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Iron Spine,"cleric/oracle 4, magus 3, sorcerer/wizard 3, witch 3",,375.0,450.0,0.0,0.0,375.0
Scroll of Blade Of Light,"cleric/oracle 4, inquisitor 4, paladin 4",,700.0,0.0,0.0,1000.0,700.0
Scroll of Wave Form,"bloodrager 4, cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Absorb Rune I,"bard 4, cleric/oracle 4, magus 4, occultist 4, sorcerer/wizard 4",,700.0,800.0,1000.0,0.0,700.0
Scroll of Brightest Light,"bard 4, cleric/oracle 4, druid 4, inquisitor 4, magus 4, occultist 4, paladin 4, ranger 4, shaman 4, sorcerer/wizard 4",,700.0,800.0,1000.0,1000.0,700.0
Scroll of Crimson Breath,"alchemist 4, cleric/oracle 4, druid 4, sorcerer/wizard 4, witch 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Tailwind,"bloodrager 4, cleric/oracle 4, druid 3, magus 4, occultist 3, ranger 3, shaman 3, sorcerer/wizard 4, spiritualist 3",Create a current of wind to enhance or impede flight.,375.0,800.0,0.0,525.0,375.0
Scroll of Tail Current,"bloodrager 4, cleric/oracle 4, druid 3, magus 4, occultist 3, ranger 3, shaman 3, sorcerer/wizard 4, spiritualist 3",,375.0,800.0,0.0,525.0,375.0
Scroll of Malediction,"antipaladin 4, cleric/oracle 4, shaman 4, spiritualist 4, witch 4",,700.0,0.0,0.0,0.0,700.0
Scroll of Ardor's Onslaught,"cleric/oracle 4, inquisitor 4",Power of conviction harms neutral foes.,700.0,0.0,0.0,0.0,700.0
"Scroll of Positive Pulse, Greater","cleric/oracle 4, inquisitor 4, paladin 3, shaman 4, sorcerer/wizard 4, spiritualist 4, summoner 3, witch 4",A large pulse of positive energy damages undead and bolsters living creatures.,700.0,800.0,0.0,525.0,525.0
Scroll of Coordinated Effort,"bard 3, inquisitor 3, psychic 4",Grants a teamwork feat you have.,0.0,0.0,525.0,0.0,525.0
"Scroll of Command, Greater","cleric/oracle 5, inquisitor 5, occultist 5, psychic 5, mesmerist 4, medium 4"," As command, but affects one subject/level.",1125.0,0.0,0.0,0.0,1125.0
"Scroll of Forbid Action, Greater","cleric/oracle 5, inquisitor 5, occultist 5, psychic 5, mesmerist 4","As forbid action, but 1 creature/level.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Serenity,"bard 4, cleric/oracle 5, sorcerer/wizard 6, psychic 5, mesmerist 4",Peaceful feelings harm those attempting violence.,1125.0,1800.0,1000.0,0.0,1000.0
Scroll of Seek Shelter,"bard 4, cleric/oracle 5, inquisitor 4, mesmerist 4, psychic 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,1000.0,0.0,1000.0
Scroll of Compelling Rant,"bard 5, cleric/oracle 5, inquisitor 5, mesmerist 5, psychic 5, sorcerer/wizard 5"," People believe your ridiculous speech as long as you keep talking.",1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Touch Of Slumber,"bard 6, cleric/oracle 5, druid 5, psychic 6, shaman 5, sorcerer/wizard 5, witch 6",,1125.0,1250.0,2400.0,0.0,1125.0
Scroll of Symbol of Sleep,"cleric/oracle 5, sorcerer/wizard 5, witch 5, occultist 4, mesmerist 5",Triggered rune puts nearby creatures into catatonic slumber.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Constricting Coils,"cleric/oracle 5, sorcerer/wizard 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Hymn Of Mercy,"bard 5, cleric/oracle 5",,1125.0,0.0,1625.0,0.0,1125.0
Scroll of Burst Of Glory,"cleric/oracle 5, inquisitor 4, paladin 4",,1125.0,0.0,0.0,1000.0,1000.0
Scroll of Planeslayer's Call,"cleric/oracle 5, inquisitor 4, paladin 4",Allies gain benefits against outsiders of an alignment you choose.,1125.0,0.0,0.0,1000.0,1000.0
"Scroll of Compel Tongue, Mass","bard 4, cleric/oracle 5, druid 5, medium 4, mesmerist 4, sorcerer/wizard 5, witch 5",,1125.0,1250.0,1000.0,0.0,1000.0
Scroll of Heretic's Tongue,"cleric/oracle 5, inquisitor 5, mesmerist 6",,1125.0,0.0,0.0,0.0,1125.0
Scroll of Break Enchantment,"bard 4, cleric/oracle 5, paladin 4, sorcerer/wizard 5, witch 5, inquisitor 5, shaman 5, occultist 4, psychic 4, mesmerist 4, spiritualist 5, medium 4","Frees subjects from enchantments, transmutations, and curses.",1125.0,1250.0,1000.0,1000.0,1000.0
Scroll of Named Bullet,"inquisitor 4, ranger 3, sorcerer/wizard 4, witch 4, psychic 4",Imbues ammunition with accuracy against a specific creature type.,700.0,800.0,0.0,525.0,525.0
Scroll of Curse of Magic Negation,"cleric/oracle 5, inquisitor 4, sorcerer/wizard 4, witch 4, occultist 4, psychic 4, mesmerist 3",Target gains the negated spellblight.,700.0,800.0,0.0,0.0,700.0
Scroll of Mind Probe,"medium 3, mesmerist 4, occultist 4, psychic 4, sorcerer/wizard 5",Learn answers from a subject’s memories.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Wall Of Blindness/Deafness,"bard 4, cleric/oracle 5, sorcerer/wizard 4, witch 4, psychic 4",Translucent wall blinds or deafens creatures that pass through it.,700.0,800.0,1000.0,0.0,700.0
Scroll of Spell Resistance,"cleric/oracle 5, alchemist 5, inquisitor 5, occultist 5, psychic 5, spiritualist 5", Subject gains SR 12 + level.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Mind Thrust IV,psychic 4,"As mind thrust II, but a maximum of 15d8 points of damage and target is fatigued for 1 round.",0.0,0.0,0.0,0.0,0.0
Scroll of Life Bubble,"cleric/oracle 5, druid 4, ranger 3, sorcerer/wizard 5, occultist 4, psychic 5",Protects from environmental effects.,700.0,1250.0,0.0,525.0,525.0
"Scroll of Astral Projection, Lesser","cleric/oracle 5, sorcerer/wizard 5, psychic 5",Limited astral travel.,1125.0,1250.0,0.0,0.0,1125.0
"Scroll of Spell Immunity, Communal","cleric/oracle 5, inquisitor 5, occultist 5, psychic 5","As spell immunity, but you may divide the duration among creatures touched.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Half-Blood Extraction,"alchemist 5, cleric/oracle 5, druid 5, sorcerer/wizard 5, witch 5, psychic 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Village Veil,"bard 5, cleric/oracle 5, sorcerer/wizard 5, witch 5, psychic 5, mesmerist 5",,1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Lend Path,"bard 4, cleric/oracle 5, druid 5, magus 4, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5, psychic 5, medium 2",,1125.0,1250.0,1000.0,0.0,1000.0
Scroll of Steal Power,"cleric/oracle 5, sorcerer/wizard 5, witch 5, psychic 5, mesmerist 4",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Spellsteal,"cleric/oracle 5, sorcerer/wizard 5, witch 5, psychic 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Wall Of Ectoplasm,"cleric/oracle 5, psychic 5, sorcerer/wizard 5, spiritualist 5",Wall of spirits blocks movement on Material Plane and Ethereal Plane and causes fear.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Darkvault,"alchemist 3, cleric/oracle 5, druid 5, psychic 5, shaman 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Flexile Curse,"bard 3, cleric/oracle 5, inquisitor 3, psychic 5, sorcerer/wizard 5, witch 3",,1125.0,1250.0,525.0,0.0,525.0
Scroll of Blood Ties,"antipaladin 4, cleric/oracle 5, druid 5, inquisitor 5, psychic 5, shaman 5, witch 5"," When a target is harmed, so is the target’s relative.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Charnel House,"antipaladin 3, cleric/oracle 5, mesmerist 5, psychic 5, sorcerer/wizard 5, witch 5"," Create an area of semi-real gore.",1125.0,1250.0,0.0,0.0,1125.0
Scroll of Contact Entity III,"cleric/oracle 5, medium 3, occultist 4, psychic 5, shaman 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5"," Ask very powerful eldritch entities to find and converse with you, or they may reply telepathically.",1125.0,1250.0,0.0,0.0,1125.0
Scroll of Thoughtsense,"medium 4, mesmerist 4, psychic 4, sorcerer/wizard 5, spiritualist 4",Automatically detect nearby conscious creatures.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Slough,"cleric/oracle 5, occultist 4, psychic 5, sorcerer/wizard 5, spiritualist 4, witch 5"," Slough off a target’s skin.",1125.0,1250.0,0.0,0.0,1125.0
"Scroll of Appearance Of Life, Greater","cleric/oracle 5, medium 4, mesmerist 5, psychic 5, sorcerer/wizard 5, spiritualist 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Trace Teleport,"psychic 4, sorcerer/wizard 5","Determine where and when teleportation occurred, and glimpse the origin or destination.",1125.0,1250.0,0.0,0.0,1125.0
Scroll of Vicarious View,"bard 4, medium 3, mesmerist 4, occultist 4, psychic 4, shaman 4, sorcerer/wizard 4, spiritualist 4, witch 4","Plant a scrying sensor that you can use to spy on a creature, object, or location.",700.0,800.0,1000.0,0.0,700.0
"Scroll of Curse, Major","cleric/oracle 5, sorcerer/wizard 6, witch 5, shaman 5, occultist 5, psychic 6, mesmerist 4, spiritualist 5","As bestow curse, but harder to remove.",1125.0,1800.0,0.0,0.0,1125.0
Scroll of Decollate,"alchemist 4, antipaladin 4, cleric/oracle 5, psychic 6, sorcerer/wizard 5, spiritualist 4, witch 5"," A target can safely remove its head.",1125.0,1250.0,0.0,0.0,1125.0
Scroll of Greater Reversion,"cleric/oracle 5, psychic 4, sorcerer/wizard 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Plane Shift,"cleric/oracle 5, sorcerer/wizard 7, summoner 5, witch 7, shaman 7, psychic 5, spiritualist 5, unchained summoner 6, medium 4",As many as 8 subjects travel to another plane.,1125.0,2450.0,0.0,0.0,1125.0
Scroll of Summon Monster V,"bard 5, cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5, psychic 5, spiritualist 5, medium 4",Summons extraplanar creature to fight for you.,1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Army Across Time,"bard 4, cleric/oracle 5, inquisitor 4, medium 3, psychic 5, ranger 3, sorcerer/wizard 5",,1125.0,1250.0,1000.0,525.0,525.0
Scroll of Breath Of Life,"cleric/oracle 5, shaman 5, spiritualist 5", Cures 5d8 damage + 1/level and restores life to recently slain creatures.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Atonement,"cleric/oracle 5, druid 5, inquisitor 5", Removes burden of misdeeds from subject.,1125.0,0.0,0.0,0.0,1125.0
"Scroll of Cure Light Wounds, Mass","bard 5, cleric/oracle 5, druid 6, witch 6, inquisitor 5, shaman 5, occultist 5","Cures 1d8 damage + 1/level, affects 1 subject/level.",1125.0,0.0,1625.0,0.0,1125.0
Scroll of Raise Dead,"cleric/oracle 5, witch 6, shaman 6, spiritualist 5", Restores life to subject who died as long as one day/level ago.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Insect Scouts,"antipaladin 4, bard 4, druid 2, inquisitor 3, psychic 4, ranger 2, shaman 2, sorcerer/wizard 3, summoner/unchained summoner 3, witch 3",,150.0,450.0,1000.0,200.0,150.0
Scroll of Wall Of Stone,"cleric/oracle 5, druid 6, sorcerer/wizard 5, summoner 4, magus 5, shaman 6, occultist 5, unchained summoner 5",Creates a stone wall that can be shaped.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Insect Plague,"cleric/oracle 5, druid 5, summoner 4, shaman 5, unchained summoner 5",Wasp swarms attack creatures.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Pillar Of Life,cleric/oracle 5,Created pillar heals 2d8 + 1/level (max +20).,1125.0,0.0,0.0,0.0,1125.0
Scroll of Summon Infernal Host,"bard 5, cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 5, witch 5",,1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Summon Ceustodaemon,"cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Summon Lesser Demon,"cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Unleash Pandemonium,"cleric/oracle 5, summoner/unchained summoner 5, witch 5",,1125.0,0.0,0.0,0.0,1125.0
Scroll of Summon Genie,"cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Summon Lesser Psychopomp,"cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Freedom's Toast,"bard 5, cleric/oracle 5, inquisitor 5, sorcerer/wizard 4",,700.0,800.0,1625.0,0.0,700.0
Scroll of Wall Of Clockwork,"cleric/oracle 5, sorcerer/wizard 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Call Spirit,"cleric/oracle 5, medium 3, shaman 5, spiritualist 5",Make the spirit of one creature manifest.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Dispel Chaos,"cleric/oracle 5, paladin 4, inquisitor 5, shaman 5", +4 bonus against attacks by chaotic creatures.,1125.0,0.0,0.0,1000.0,1000.0
Scroll of Dispel Evil,"cleric/oracle 5, paladin 4, inquisitor 5, shaman 5", +4 bonus against attacks by evil creatures.,1125.0,0.0,0.0,1000.0,1000.0
Scroll of Dispel Good,"cleric/oracle 5, inquisitor 5, antipaladin 4, shaman 5",+4 against attacks by good creatures.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Dispel Law,"cleric/oracle 5, inquisitor 5, antipaladin 4, shaman 5",+4 against attacks by lawful creatures.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Disrupting Weapon,"cleric/oracle 5, inquisitor 5, spiritualist 5", Melee weapon destroys undead.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Cold Iron Fetters,"cleric/oracle 5, inquisitor 4, occultist 5, ranger 3, shaman 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,525.0,525.0
Scroll of Cone Of Slime,"cleric/oracle 5, sorcerer/wizard 4, summoner 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Flame Strike,"cleric/oracle 5, druid 4, inquisitor 5, shaman 5",Smites foes with divine fire (1d6/level damage).,700.0,0.0,0.0,0.0,700.0
Scroll of Hallow,"cleric/oracle 5, druid 5, inquisitor 5",Designates location as holy.,1125.0,0.0,0.0,0.0,1125.0
"Scroll of Inflict Light Wounds, Mass","cleric/oracle 5, witch 6, inquisitor 5, shaman 5, occultist 5"," Deals 1d8 damage + 1/level, affects 1 subject/level.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Mark of Justice,"cleric/oracle 5, paladin 4, witch 5, inquisitor 5",Designates action that triggers curse on subject.,1125.0,0.0,0.0,1000.0,1000.0
Scroll of Righteous Might,"cleric/oracle 5, inquisitor 5"," Your size increases, and you gain bonuses in combat.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Slay Living,"cleric/oracle 5, witch 6, antipaladin 4, shaman 6, spiritualist 5",Touch attack deals 12d6 +1 per level.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Symbol of Pain,"cleric/oracle 5, sorcerer/wizard 5, witch 5, occultist 4, mesmerist 5",Triggered rune wracks nearby creatures with pain.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Unhallow,"cleric/oracle 5, druid 5, inquisitor 5",Designates location as unholy.,1125.0,0.0,0.0,0.0,1125.0
"Scroll of Spellcasting Contract, Lesser",cleric/oracle 5,,1125.0,0.0,0.0,0.0,1125.0
Scroll of Cleanse,"cleric/oracle 5, inquisitor 6","As heal, but only cures 4d8 damage +1/level (max +25).",1125.0,0.0,0.0,0.0,1125.0
"Scroll of Ghostbane Dirge, Mass","bard 4, cleric/oracle 5, inquisitor 5, paladin 3, shaman 5, occultist 5","As ghostbane dirge, but affects multiple creatures.",1125.0,0.0,1000.0,525.0,525.0
Scroll of Snake Staff,"cleric/oracle 5, druid 5, shaman 6",Transforms wood into snakes to fight for you.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Treasure Stitching,"bard 4, cleric/oracle 5, sorcerer/wizard 5, occultist 4",Objects on cloth become embroidered.,1125.0,1250.0,1000.0,0.0,1000.0
Scroll of Harvest Knowledge,"alchemist 4, antipaladin 4, bard 4, inquisitor 4, mesmerist 4, psychic 4, sorcerer/wizard 4, witch 4",,700.0,800.0,1000.0,0.0,700.0
"Scroll of Contagion, Greater","cleric/oracle 5, druid 5, sorcerer/wizard 6, witch 5",Infect a subject with a magical disease.,1125.0,1800.0,0.0,0.0,1125.0
Scroll of Fickle Winds,"cleric/oracle 5, druid 5, ranger 3, sorcerer/wizard 5, spiritualist 5",Wind walls selectively block attacks.,1125.0,1250.0,0.0,525.0,525.0
Scroll of Holy Ice,cleric/oracle 5,Create wall or javelins of frozen holy water.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Rapid Repair,"cleric/oracle 5, sorcerer/wizard 5, occultist 4",Construct gains fast healing 5.,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Reprobation,"cleric/oracle 5, druid 5, inquisitor 4, paladin 4",Marked target is shunned by your religion.,1125.0,0.0,0.0,1000.0,1000.0
Scroll of Reveal Emotions,"medium 3, mesmerist 4, occultist 4, psychic 4, spiritualist 4",,0.0,0.0,0.0,0.0,0.0
Scroll of Unholy Ice,cleric/oracle 5,Create wall or javelins of frozen unholy water.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Undeath Ward,"cleric/oracle 5, inquisitor 4, sorcerer/wizard 6, witch 6",,1125.0,1800.0,0.0,0.0,1125.0
Scroll of Geniekind,"cleric/oracle 5, druid 5, sorcerer/wizard 5, summoner/unchained summoner 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Khain's Army,"cleric/oracle 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Siphon Magic,"cleric/oracle 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
"Scroll of Air Walk, Communal","alchemist 5, cleric/oracle 5, druid 5, occultist 5","As air walk, but you may divide the duration among creatures touched.",1125.0,0.0,0.0,0.0,1125.0
"Scroll of Magic Siege Engine, Greater","antipaladin 4, cleric/oracle 5, inquisitor 4, paladin 4, sorcerer/wizard 4, occultist 4",Siege engine gains +1 on targeting and damage rolls for every four caster levels.,700.0,800.0,0.0,1000.0,700.0
Scroll of Symbol Of Striking,"cleric/oracle 5, magus 5, sorcerer/wizard 5, witch 5","As symbol of death, but fills a 5-foot square.",1125.0,1250.0,0.0,0.0,1125.0
"Scroll of Heroic Fortune, Mass","bard 4, cleric/oracle 5",,1125.0,0.0,1000.0,0.0,1000.0
Scroll of Spawn Ward,"cleric/oracle 5, inquisitor 5",,1125.0,0.0,0.0,0.0,1125.0
"Scroll of Steal Years, Greater","cleric/oracle 5, druid 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Angelic Aspect,"cleric/oracle 5, paladin 3, sorcerer/wizard 5",,1125.0,1250.0,0.0,525.0,525.0
Scroll of Sanctify Weapons,"cleric/oracle 5, paladin 3",,1125.0,0.0,0.0,525.0,525.0
Scroll of True Seeing,"cleric/oracle 5, druid 7, sorcerer/wizard 6, alchemist 6, summoner 5, witch 6, inquisitor 5, magus 6, shaman 5, occultist 5, psychic 5, mesmerist 6, spiritualist 6, unchained summoner 6, medium 4",Lets you see all things as they really are.,1125.0,1800.0,0.0,0.0,1125.0
Scroll of Locate Gate,"bard 5, cleric/oracle 5, occultist 5, psychic 5, sorcerer/wizard 5, summoner/unchained summoner 5"," Find a nearby magical portal.",1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Sphere Of Warding,"cleric/oracle 5, inquisitor 4, witch 5",,1125.0,0.0,0.0,0.0,1125.0
Scroll of Caustic Blood,"alchemist 4, cleric/oracle 5, druid 4, magus 4, sorcerer/wizard 5, summoner/unchained summoner 4",,700.0,1250.0,0.0,0.0,700.0
Scroll of Hunter's Blessing,"cleric/oracle 5, druid 5, inquisitor 5",,1125.0,0.0,0.0,0.0,1125.0
"Scroll of Lighten Object, Mass","cleric/oracle 5, magus 5, sorcerer/wizard 5, summoner/unchained summoner 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Smite Abomination,"cleric/oracle 5, inquisitor 4",,1125.0,0.0,0.0,0.0,1125.0
Scroll of Boneshatter,"cleric/oracle 5, sorcerer/wizard 4",,700.0,800.0,0.0,0.0,700.0
Scroll of Reboot,"cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Soulswitch,"bard 5, cleric/oracle 5, druid 5, inquisitor 5, magus 5, shaman 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Daywalker,"antipaladin 4, cleric/oracle 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Sessile Spirit,"cleric/oracle 5, inquisitor 4, medium 2, occultist 3, shaman 4, spiritualist 3, witch 5",Cause a spirit inhabiting a creature or an object to go dormant.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Respectful Quiet,"bard 3, cleric/oracle 5, inquisitor 3",,1125.0,0.0,525.0,0.0,525.0
Scroll of Blood Tentacles,"antipaladin 4, cleric/oracle 5, shaman 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Ban Corruption,"cleric/oracle 5, inquisitor 4, medium 3, occultist 4, paladin 4, shaman 5"," Eliminate the gifts of nearby corrupted creatures.",1125.0,0.0,0.0,1000.0,1000.0
Scroll of Profane Nimbus,"antipaladin 4, cleric/oracle 5, inquisitor 5"," Unholy energy damages good creatures that attack you and protects you from good attacks.",1125.0,0.0,0.0,0.0,1125.0
Scroll of Sacred Nimbus,"cleric/oracle 5, inquisitor 5, paladin 4"," Holy energy damages evil creatures that attack you and protects you from evil attacks.",1125.0,0.0,0.0,1000.0,1000.0
Scroll of Vile Dog Transformation,"antipaladin 3, cleric/oracle 5, druid 5, shaman 5, sorcerer/wizard 5, witch 5"," Transform ordinary dogs into fiendish minions.",1125.0,1250.0,0.0,0.0,1125.0
Scroll of Besmara's Grasping Depths,"cleric/oracle 5, inquisitor 6, shaman 6, spiritualist 5, witch 6",,1125.0,0.0,0.0,0.0,1125.0
Scroll of Shroud Of Darkness,"antipaladin 4, bard 5, cleric/oracle 5, inquisitor 5, mesmerist 4, shaman 5, sorcerer/wizard 5",,1125.0,1250.0,1625.0,0.0,1125.0
Scroll of Cleansing Fire,"cleric/oracle 5, inquisitor 4, paladin 4",,1125.0,0.0,0.0,1000.0,1000.0
"Scroll of Sun's Disdain, Mass","bloodrager 5, cleric/oracle 5, inquisitor 5, shaman 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Sawtooth Terrain,"cleric/oracle 5, druid 5, sorcerer/wizard 5, witch 5",,1125.0,1250.0,0.0,0.0,1125.0
Scroll of Dispel Balance,"cleric/oracle 5, inquisitor 5",You are protected from neutral creatures.,1125.0,0.0,0.0,0.0,1125.0
Scroll of Hasten Judgment,"antipaladin 4, cleric/oracle 5, druid 5, inquisitor 4, sorcerer/wizard 6, spiritualist 4, witch 5",Quicken a soul’s journey to judgment—hampering resurrection or weakening undead foes.,1125.0,1800.0,0.0,0.0,1125.0
Scroll of Talisman Of Reprieve,"cleric/oracle 5, inquisitor 4, paladin 3",,1125.0,0.0,0.0,525.0,525.0
